"","QuestionRef","2019","2020","2021"
"1","MainBranch",1,1,1
"2","Hobbyist",1,1,NA
"3","OpenSourcer",1,NA,NA
"4","OpenSource",1,NA,NA
"5","Employment",1,1,1
"6","Country",1,1,1
"7","Student",1,NA,NA
"8","EdLevel",1,1,1
"9","UndergradMajor",1,1,NA
"10","EduOther",1,NA,NA
"11","OrgSize",1,1,1
"12","DevType",1,1,1
"13","YearsCode",1,1,1
"14","Age1stCode",1,1,1
"15","YearsCodePro",1,1,1
"16","CareerSat",1,NA,NA
"17","JobSat",1,1,NA
"18","MgrIdiot",1,NA,NA
"19","MgrMoney",1,NA,NA
"20","MgrWant",1,NA,NA
"21","JobSeek",1,1,NA
"22","LastHireDate",1,NA,NA
"23","LastInt",1,NA,NA
"24","FizzBuzz",1,NA,NA
"25","JobFactors",1,1,NA
"26","ResumeUpdate",1,NA,NA
"27","CurrencySymbol",1,1,NA
"28","CurrencyDesc",1,1,NA
"29","CompTotal",1,1,1
"30","CompFreq",1,1,1
"31","ConvertedComp",1,1,NA
"32","WorkWeekHrs",1,1,NA
"33","WorkPlan",1,NA,NA
"34","WorkChallenge",1,NA,NA
"35","WorkRemote",1,NA,NA
"36","WorkLoc",1,NA,NA
"37","ImpSyn",1,NA,NA
"38","CodeRev",1,NA,NA
"39","CodeRevHrs",1,NA,NA
"40","UnitTests",1,NA,NA
"41","PurchaseHow",1,NA,NA
"42","PurchaseWhat",1,1,NA
"43","LanguageWorkedWith",1,1,NA
"44","LanguageDesireNextYear",1,1,NA
"45","DatabaseWorkedWith",1,1,NA
"46","DatabaseDesireNextYear",1,1,NA
"47","PlatformWorkedWith",1,1,NA
"48","PlatformDesireNextYear",1,1,NA
"49","WebFrameWorkedWith",1,NA,NA
"50","WebFrameDesireNextYear",1,NA,NA
"51","MiscTechWorkedWith",1,1,NA
"52","MiscTechDesireNextYear",1,1,NA
"53","DevEnviron",1,NA,NA
"54","OpSys",1,1,1
"55","Containers",1,NA,NA
"56","BlockchainOrg",1,NA,NA
"57","BlockchainIs",1,NA,NA
"58","BetterLife",1,NA,NA
"59","ITperson",1,NA,NA
"60","OffOn",1,NA,NA
"61","SocialMedia",1,NA,NA
"62","Extraversion",1,NA,NA
"63","ScreenName",1,NA,NA
"64","SOVisit1st",1,NA,NA
"65","SOVisitFreq",1,1,1
"66","SOVisitTo",1,NA,NA
"67","SOFindAnswer",1,NA,NA
"68","SOTimeSaved",1,NA,NA
"69","SOHowMuchTime",1,NA,NA
"70","SOAccount",1,1,1
"71","SOPartFreq",1,1,1
"72","SOJobs",1,NA,NA
"73","EntTeams",1,NA,NA
"74","SOComm",1,1,1
"75","WelcomeChange",1,1,NA
"76","SONewContent",1,NA,NA
"77","Age",1,1,1
"78","Dependents",1,NA,NA
"79","SurveyLength",1,1,1
"80","SurveyEase",1,1,1
"81","CollabToolsDesireNextYear",NA,1,NA
"82","CollabToolsWorkedWith",NA,1,NA
"83","DevOps",NA,1,NA
"84","DevOpsImpt",NA,1,NA
"85","EdImpt",NA,1,NA
"86","JobHunt",NA,1,NA
"87","JobHuntResearch",NA,1,NA
"88","Learn",NA,1,NA
"89","OffTopic",NA,1,NA
"90","OnboardGood",NA,1,NA
"91","OtherComms",NA,1,1
"92","Overtime",NA,1,NA
"93","PurchaseResearch",NA,1,NA
"94","PurpleLink",NA,1,NA
"95","SOSites",NA,1,1
"96","Stuck",NA,1,1
"97","WebframeDesireNextYear",NA,1,NA
"98","WebframeWorkedWith",NA,1,NA
"99","ResponseId",NA,NA,1
"100","US_State",NA,NA,1
"101","UK_Country",NA,NA,1
"102","LearnCode",NA,NA,1
"103","Currency",NA,NA,1
"104","LanguageHaveWorkedWith",NA,NA,1
"105","LanguageWantToWorkWith",NA,NA,1
"106","DatabaseHaveWorkedWith",NA,NA,1
"107","DatabaseWantToWorkWith",NA,NA,1
"108","PlatformHaveWorkedWith",NA,NA,1
"109","PlatformWantToWorkWith",NA,NA,1
"110","WebframeHaveWorkedWith",NA,NA,1
"111","WebframeWantToWorkWith",NA,NA,1
"112","MiscTechHaveWorkedWith",NA,NA,1
"113","MiscTechWantToWorkWith",NA,NA,1
"114","ToolsTechHaveWorkedWith",NA,NA,1
"115","ToolsTechWantToWorkWith",NA,NA,1
"116","CollabToolsHaveWorkedWith",NA,NA,1
"117","CollabToolsWantToWorkWith",NA,NA,1
"118","ConvertedCompYearly",NA,NA,1
